author,updated_at,like_count,text,video_id,public
@listonloveless4672,2024-04-13T20:46:31Z,0,They should have been stopped this fight,cQOq2Ih36EU,True
@user-ib5df6he2i,2024-04-13T19:31:55Z,0,😂😂😂😂,cQOq2Ih36EU,True
@GaryBonnell-tl1jp,2024-04-13T15:37:11Z,0,After the nut whipping that senior citizen put on rolly i don't have a clue how anyone thought rolly had a chance and i know yank doesn't want a rematch the pitbull has gotten better,cQOq2Ih36EU,True
@drettydre149,2024-04-13T14:27:24Z,0,Issac Cruz is a main event PPV fighter,cQOq2Ih36EU,True
@nm-ix7dz,2024-04-13T13:16:06Z,0,Why Rolly Box😅😅,cQOq2Ih36EU,True
@Henrix557,2024-04-13T12:06:25Z,0,Congratulations Isaac Pitbull Cruz..Your fan from the Philippines,cQOq2Ih36EU,True
@michaelmorrondoz3473,2024-04-13T11:44:19Z,0,pitbull vs matias next fight..,cQOq2Ih36EU,True
@OnlineSafety-ng7et,2024-04-13T10:00:13Z,0,Rolly should give Tarver a chance to train him.  Switch up time!!!,cQOq2Ih36EU,True
@akolngito,2024-04-13T06:08:26Z,1,It looks like he was cross breed of mexican and Filipino boxer,cQOq2Ih36EU,True
@akolngito,2024-04-13T06:07:33Z,0,2:03,cQOq2Ih36EU,True
@akolngito,2024-04-13T06:07:21Z,0,1:51,cQOq2Ih36EU,True
@alejandrolopez-we4vj,2024-04-13T05:33:43Z,0,Que verguiza,cQOq2Ih36EU,True
@bigpradadawg6272,2024-04-13T03:14:43Z,0,Shit on,cQOq2Ih36EU,True
@hectorgomez9401,2024-04-13T00:09:42Z,0,Now that's a real pitbull!!!! thank God the ref save that boy's life 😂,cQOq2Ih36EU,True
@fishingcatchandcookkayaki9837,2024-04-12T22:20:11Z,0,Did he give him the chain ??,cQOq2Ih36EU,True
@user-sl7hq5sr5c,2024-04-12T21:11:46Z,0,If someone made a t shirt of the thumbnail..... I'd buy 😂,cQOq2Ih36EU,True
@yanelymontoya1274,2024-04-12T19:50:53Z,0,Goosebumps!!!! Viva 🇲🇽,cQOq2Ih36EU,True
@Ranchero123,2024-04-12T18:06:28Z,0,"A ese "" cubanito"" le dieron su "" buena putiza"" como decimos los mexicanos..
Y le dio su buen "" MERECIDO""...😂..
👍☝️☝️☝️...ES DEPORTE NO ES TEATRO...",cQOq2Ih36EU,True
@carlaparks1881,2024-04-12T17:19:57Z,0,ROMERO GOT HIS ASS BEAT AND HE SHOULD LEARN FROM THIS FIGHTER CRUZ SHOW NO RESPECT 😮😮😮,cQOq2Ih36EU,True
@freyasworld5024,2024-04-12T15:39:53Z,0,"Rolly was getting Tuned up, but let the man go out on his shield dude",cQOq2Ih36EU,True
@dectormarch5431,2024-04-12T14:17:30Z,0,Cihuahua bite his ass😂,cQOq2Ih36EU,True
@riskromer9773,2024-04-12T13:37:00Z,0,QUe putiza :O,cQOq2Ih36EU,True
@reginomullet715,2024-04-12T11:49:00Z,0,❤like Tyson  si cruz,cQOq2Ih36EU,True
@user-nk8dm7rj6h,2024-04-12T11:37:13Z,0,rolly needs to retire from boxing. its just not for him.  this fight was a clear reality check!,cQOq2Ih36EU,True
@juniorabceua7797,2024-04-12T09:58:21Z,0,"""Yo no quiero oro ni quiero plata, yo lo que quiero es romper la piñata""   - PitbullCruz 2024😂😂😂",cQOq2Ih36EU,True
@DawitAtsbaha-vp2cn,2024-04-12T05:54:37Z,0,"ROLLY WAS A PROBLEM FOR TANK DAVIS !! BUT TANK BEAT THEM BOTH ,BUT DAVIS DON’T WANT NO REMATCH AFTER SEEING THIS 😂",cQOq2Ih36EU,True
@SouthernStreetTV,2024-04-12T05:41:00Z,1,Rolly got robbed,cQOq2Ih36EU,True
@ilikevines,2024-04-12T05:21:53Z,0,"Rolly:
Great power
Average skill

Pitbull:
Great power
Great skill",cQOq2Ih36EU,True
@danielprieto6885,2024-04-12T05:20:57Z,0,Release the full fight pks😢,cQOq2Ih36EU,True
@Justhim60,2024-04-12T04:30:37Z,0,Rolls trash 😂,cQOq2Ih36EU,True
@big_general1,2024-04-12T04:23:39Z,0,Man pitbull had rolly looking like drunk uncle 😂,cQOq2Ih36EU,True
@chadbaier2557,2024-04-12T01:00:56Z,0,Rolly got busted up,cQOq2Ih36EU,True
@archiearnobit,2024-04-12T00:45:55Z,0,Pitbull lesssss go!!!!! Keeps sleeping on cruz tthis what happens,cQOq2Ih36EU,True
@SkylineTwinSpoolysnail,2024-04-11T23:45:34Z,0,Mayne what?,cQOq2Ih36EU,True
@espartacos1327,2024-04-11T23:38:57Z,0,🔴Próxima pelea  de rayos  Interesante pelea  entre Issac Cruz ( campeón Mexicano) vs Barroso ( campeón Venezolano) pelea que sacara chispas si se da esta gran pelea 🥊🥊,cQOq2Ih36EU,True
@Jokertheking-lb8io,2024-04-11T23:11:16Z,0,"No lo hagan ,no molesten a un harmano mexicano ,no se los recomiendo 😂",cQOq2Ih36EU,True
@Waltuhhhhh,2024-04-11T22:41:05Z,0,Na look at the pink lady from the rewind😂😂 0:51,cQOq2Ih36EU,True
@jimmytayoan1584,2024-04-11T19:44:23Z,0,Rematch with tank,cQOq2Ih36EU,True
@vitoaccettura2261,2024-04-11T19:37:14Z,1,Looks like Cruz wants that tank rematch,cQOq2Ih36EU,True
@Back1pretzleout,2024-04-11T19:12:09Z,0,Does this dude always lose ?,cQOq2Ih36EU,True
@omarmtz643,2024-04-11T18:51:52Z,0,EL PITBULL NO PUEDE PELEAR CON EL BULTO DEL CANELO??,cQOq2Ih36EU,True
@shaunrocksthecitytvshow4117,2024-04-11T18:48:27Z,1,Rolly have to start over from scratch new trainer that really wants to help him.   🤔🤔🤔💯💯,cQOq2Ih36EU,True
@zb3485,2024-04-11T17:37:20Z,0,poor rolly...love the trashtalk he brings tho,cQOq2Ih36EU,True
@sakutasu,2024-04-11T11:37:35Z,0,"Shit talking Romero , Got his ass kicked .",cQOq2Ih36EU,True
@joeljohncarino7759,2024-04-11T11:29:29Z,0,Pitbull got dat dawg in him,cQOq2Ih36EU,True
@demoone1518,2024-04-11T06:03:49Z,0,U gotta admit tank is a scared person . He makes his roots look bad by saying no to the tematch if hes so good cmon porve it wuatation marks tank,cQOq2Ih36EU,True
@lulrico60,2024-04-11T05:35:34Z,0,Hahahaahahahahahhaua where are all these pit bull haters now ?,cQOq2Ih36EU,True
@Pt0610,2024-04-11T04:27:24Z,0,Đưa Tank đến đây,cQOq2Ih36EU,True
@alexc.3032,2024-04-11T04:07:32Z,0,We work hard and eat better than any other race and we don’t talk shit bro we back it up,cQOq2Ih36EU,True
@javierabraham4205,2024-04-11T04:00:59Z,0,La pequeña makina,cQOq2Ih36EU,True
@stevechin4262,2024-04-11T03:50:05Z,0,Two of them are trash zzz what I just watch,cQOq2Ih36EU,True
@albertocarmona4418,2024-04-11T03:06:04Z,0,No le pares el dedo a un mex por q te va mal jaja,cQOq2Ih36EU,True
@TheCivicsiep3,2024-04-11T01:35:25Z,0,to be fair to rolly for all the punches to the head he took the man stayed on his feet. i mean these arent light shots these would knock most anyone clean out and this mans head getting dribbled like a basketball with power shots. its not wonder rolly talk like hes handicapped,cQOq2Ih36EU,True
@mbkyoungan4848,2024-04-11T01:33:02Z,0,Beat the fuck out that boy😂😂😂,cQOq2Ih36EU,True
@user-jg4ki3gh8l,2024-04-11T01:23:43Z,0,"Pitbull Cruz vs Inoue bastard , let's go",cQOq2Ih36EU,True
@Writingonthewall-mx3fi,2024-04-11T00:49:55Z,0,"Rolly doesn’t have the IQ to defeat A fighters, he’s dumb as a rock,",cQOq2Ih36EU,True
@AgustinBacud-mz1dp,2024-04-10T21:24:14Z,0,ito ang tunay na monster walang pinipiling kalaban...this man is a real monster all of boxer to fight him not it like the other boxer to fight he choice..,cQOq2Ih36EU,True
@luisalejandrotalaveraflore3579,2024-04-10T20:41:00Z,0,"Jajajajajaja jajajajajaja estuvo a toda madre como le quitaste lo hocicon a ese pinche perro roñoso para que se saque a la verga, enhora buena pitbull vas a llegar lejos brother",cQOq2Ih36EU,True
@otto3967,2024-04-10T20:08:02Z,0,"It's funny how some fighters gives that intimidating stares and gets beat up, LOL!",cQOq2Ih36EU,True
@thegloreferee1588,2024-04-10T19:57:38Z,0,Everytime I see Rolly he getting man handled in the ring,cQOq2Ih36EU,True
@morristyson1,2024-04-10T19:46:09Z,0,Fall of Rolly,cQOq2Ih36EU,True
@Bask8t6608,2024-04-10T19:41:40Z,0,🇵🇭🤝🇲🇽,cQOq2Ih36EU,True
@blluecifer1463,2024-04-10T19:20:42Z,0,Never will do tank that way,cQOq2Ih36EU,True
@ArchGaming-jg3no,2024-04-10T18:31:42Z,0,Fight of the year or trash talk gone wrong?😅,cQOq2Ih36EU,True
@CatoPeralta,2024-04-10T16:47:48Z,0,Chihuahua cruz 😅,cQOq2Ih36EU,True
@ChadUnderwood-pj9nb,2024-04-10T15:44:52Z,0,Rolly ain't no boxer 😂😂😂 tank sparked him rolly isn't that good at all he is a bum his career is over he won't get no more big fights unless they feeding him to a new up and coming guy😂😂😂,cQOq2Ih36EU,True
@Naxtee,2024-04-10T15:00:47Z,0,Mini Tyson.,cQOq2Ih36EU,True
@ericwilson4815,2024-04-10T13:45:26Z,0,🔥🔥🔥🔥🔥🔥,cQOq2Ih36EU,True
@shakurzaheer9190,2024-04-10T07:18:44Z,2,I see why Tank Davis don't wanna give a rematch.,cQOq2Ih36EU,True
@gilmarcia6101,2024-04-10T06:39:22Z,0,Rematch davis🤜🤛,cQOq2Ih36EU,True
@jonathanikeda8727,2024-04-10T06:12:59Z,0,"Rolly did learn the lesson hard way. Never make any funny of his opponent with insults or mocked words before the fight. Pitbull beat him mercilessly and terribly. In other words, he is killing him.",cQOq2Ih36EU,True
@flexxnxt,2024-04-10T04:30:47Z,5,We WANT CRUZ vs DAVIS PART 2 !!,cQOq2Ih36EU,True
