author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@dannggg,2024-04-15T01:47:38Z,0,Thumbnail has me dead,True,Thumbnail has me dead,thumbnail dead,en
@P71ScrewHead,2024-04-14T22:40:59Z,0,"Even Chihuahuas get their respect.. I had 2, i know them lil dogs are fearless n back down to no one.. i guess Pitbull Cruz let the inner Chihuahua in him loose, absolutely beat him nasty..lol",True,"Even Chihuahuas get their respect.. I had 2, i know them lil dogs are fearless n back down to no one.. i guess Pitbull Cruz let the inner Chihuahua in him loose, absolutely beat him nasty..lol",even chihuahua get respect 2 know lil dog fearless n back one guess pitbul cruz let inner chihuahua loos absolut beat nastylol,en
@FruscianteRamone,2024-04-14T21:02:26Z,0,I want to see cruz VS tank again!,True,I want to see cruz VS tank again!,want see cruz v tank,en
@AngelRosariorivera-sb4dg,2024-04-14T20:56:21Z,0,My son Is 5 AND he know that pit  Bill Will won the fight,True,My son Is 5 AND he know that pit  Bill Will won the fight,son 5 know pit bill fight,en
@bunaldiaries6418,2024-04-14T20:52:14Z,0,Bum ass Rolly needs to hang them gloves up. He doesn't have it anymore. Call it a career Rolly you ain't shit.,True,Bum ass Rolly needs to hang them gloves up. He doesn't have it anymore. Call it a career Rolly you ain't shit.,bum as rolli need hang glove doesnt anymor call career rolli aint shit,en
@berntbishop5098,2024-04-14T19:41:45Z,0,Cruse is absolutely incredibly beatdown boxer. Time for a rematch between him n Tank. He has earned the right.,True,Cruse is absolutely incredibly beatdown boxer. Time for a rematch between him n Tank. He has earned the right.,cruse absolut incred beatdown boxer time rematch n tank earn right,en
@TheSakufighter,2024-04-14T18:48:18Z,0,Ref jumped in way too quick.,True,Ref jumped in way too quick.,ref jump way quick,en
@JDeuce1,2024-04-14T18:46:14Z,0,Romero Is all talks 😅😅 Alwayz Getting his ass beat,True,Romero Is all talks  Alwayz Getting his ass beat,romero talk alwayz get as beat,en
@MrAfiq74,2024-04-14T17:40:27Z,0,Cruz is another level man,True,Cruz is another level man,cruz anoth level man,en
@DanHunterSportsWriter,2024-04-14T16:50:58Z,0,Isaac Cruz fights like a prime Mike Tyson!!,True,Isaac Cruz fights like a prime Mike Tyson!!,isaac cruz fight like prime mike tyson,en
@TinoMakuyana,2024-04-14T04:57:12Z,0,Wow this romero is not boxer he is just lucky to be getting such big paying bouts,True,Wow this romero is not boxer he is just lucky to be getting such big paying bouts,wow romero boxer lucki get big pay bout,en
@jonnycashh3876,2024-04-14T04:29:55Z,0,Rolly a troll boxer….Jake Paul should fight him 🤭🤭,True,Rolly a troll boxer….Jake Paul should fight him 🤭🤭,rolli troll boxer jake paul fight,en
@donnellpool6239,2024-04-14T03:57:36Z,0,At the end of the fight interviewing Rolly he reminded me of Daffy duck singing Mary had another lamb just like Rolly talking about going to Disneyland,True,At the end of the fight interviewing Rolly he reminded me of Daffy duck singing Mary had another lamb just like Rolly talking about going to Disneyland,end fight interview rolli remind daffi duck sing mari anoth lamb like rolli talk go disneyland,en
@lavery0365,2024-04-14T02:40:03Z,0,Ass whooping well deserved..... BING BANG BOOM 💥!,True,Ass whooping well deserved..... BING BANG BOOM !,as whoop well deserv bing bang boom,en
@marcobermudez1423,2024-04-13T23:49:47Z,0,When out boxed goes wrong,True,When out boxed goes wrong,box go wrong,en
@listonloveless4672,2024-04-13T20:46:31Z,0,They should have been stopped this fight,True,They should have been stopped this fight,stop fight,en
@GaryBonnell-tl1jp,2024-04-13T15:37:11Z,0,After the nut whipping that senior citizen put on rolly i don't have a clue how anyone thought rolly had a chance and i know yank doesn't want a rematch the pitbull has gotten better,True,After the nut whipping that senior citizen put on rolly i don't have a clue how anyone thought rolly had a chance and i know yank doesn't want a rematch the pitbull has gotten better,nut whip senior citizen put rolli dont clue anyon thought rolli chanc know yank doesnt want rematch pitbul gotten better,en
@drettydre149,2024-04-13T14:27:24Z,0,Issac Cruz is a main event PPV fighter,True,Issac Cruz is a main event PPV fighter,issac cruz main event ppv fighter,en
@nm-ix7dz,2024-04-13T13:16:06Z,0,Why Rolly Box😅😅,True,Why Rolly Box,rolli box,en
@Henrix557,2024-04-13T12:06:25Z,0,Congratulations Isaac Pitbull Cruz..Your fan from the Philippines,True,Congratulations Isaac Pitbull Cruz..Your fan from the Philippines,congratul isaac pitbul cruzyour fan philippin,en
@michaelmorrondoz3473,2024-04-13T11:44:19Z,0,pitbull vs matias next fight..,True,pitbull vs matias next fight..,pitbul v matia next fight,en
@OnlineSafety-ng7et,2024-04-13T10:00:13Z,0,Rolly should give Tarver a chance to train him.  Switch up time!!!,True,Rolly should give Tarver a chance to train him.  Switch up time!!!,rolli give tarver chanc train switch time,en
@akolngito,2024-04-13T06:08:26Z,1,It looks like he was cross breed of mexican and Filipino boxer,True,It looks like he was cross breed of mexican and Filipino boxer,look like cross breed mexican filipino boxer,en
@bigpradadawg6272,2024-04-13T03:14:43Z,0,Shit on,True,Shit on,shit,en
@hectorgomez9401,2024-04-13T00:09:42Z,0,Now that's a real pitbull!!!! thank God the ref save that boy's life 😂,True,Now that's a real pitbull!!!! thank God the ref save that boy's life ,that real pitbul thank god ref save boy life,en
@fishingcatchandcookkayaki9837,2024-04-12T22:20:11Z,0,Did he give him the chain ??,True,Did he give him the chain ??,give chain,en
@user-sl7hq5sr5c,2024-04-12T21:11:46Z,0,If someone made a t shirt of the thumbnail..... I'd buy 😂,True,If someone made a t shirt of the thumbnail..... I'd buy ,someon made shirt thumbnail id buy,en
@carlaparks1881,2024-04-12T17:19:57Z,0,ROMERO GOT HIS ASS BEAT AND HE SHOULD LEARN FROM THIS FIGHTER CRUZ SHOW NO RESPECT 😮😮😮,True,ROMERO GOT HIS ASS BEAT AND HE SHOULD LEARN FROM THIS FIGHTER CRUZ SHOW NO RESPECT ,romero got as beat learn fighter cruz show respect,en
@freyasworld5024,2024-04-12T15:39:53Z,0,"Rolly was getting Tuned up, but let the man go out on his shield dude",True,"Rolly was getting Tuned up, but let the man go out on his shield dude",rolli get tune let man go shield dude,en
@user-nk8dm7rj6h,2024-04-12T11:37:13Z,0,rolly needs to retire from boxing. its just not for him.  this fight was a clear reality check!,True,rolly needs to retire from boxing. its just not for him.  this fight was a clear reality check!,rolli need retir box fight clear realiti check,en
@DawitAtsbaha-vp2cn,2024-04-12T05:54:37Z,0,"ROLLY WAS A PROBLEM FOR TANK DAVIS !! BUT TANK BEAT THEM BOTH ,BUT DAVIS DON’T WANT NO REMATCH AFTER SEEING THIS 😂",True,"ROLLY WAS A PROBLEM FOR TANK DAVIS !! BUT TANK BEAT THEM BOTH ,BUT DAVIS DON’T WANT NO REMATCH AFTER SEEING THIS ",rolli problem tank davi tank beat davi want rematch see,en
@ilikevines,2024-04-12T05:21:53Z,0,"Rolly:
Great power
Average skill

Pitbull:
Great power
Great skill",True,"Rolly:
Great power
Average skill

Pitbull:
Great power
Great skill",rolli great power averag skill pitbul great power great skill,en
@danielprieto6885,2024-04-12T05:20:57Z,0,Release the full fight pks😢,True,Release the full fight pks,releas full fight pk,en
@Justhim60,2024-04-12T04:30:37Z,0,Rolls trash 😂,True,Rolls trash ,roll trash,en
@big_general1,2024-04-12T04:23:39Z,0,Man pitbull had rolly looking like drunk uncle 😂,True,Man pitbull had rolly looking like drunk uncle ,man pitbul rolli look like drunk uncl,en
@chadbaier2557,2024-04-12T01:00:56Z,0,Rolly got busted up,True,Rolly got busted up,rolli got bust,en
@archiearnobit,2024-04-12T00:45:55Z,0,Pitbull lesssss go!!!!! Keeps sleeping on cruz tthis what happens,True,Pitbull lesssss go!!!!! Keeps sleeping on cruz tthis what happens,pitbul le go keep sleep cruz tthi happen,en
@SkylineTwinSpoolysnail,2024-04-11T23:45:34Z,0,Mayne what?,True,Mayne what?,mayn,en
