author,updated_at,like_count,text,public,cleaned_text,review_txt,language
@psicorganon3585,2024-04-15T02:16:42Z,0,Como puede defender tan mal un boxeador. Para mi que el golpe de cruz en el primer round le movio sus conocimintos basicos de boxeo.,True,Como puede defender tan mal un boxeador. Para mi que el golpe de cruz en el primer round le movio sus conocimintos basicos de boxeo.,pued defend tan mal boxeador golp cruz primer round movio conociminto basico boxeo,es
@gabrielalvarez7029,2024-04-14T03:12:06Z,0,A México se le respeta!!!!!,True,A México se le respeta!!!!!,méxico respeta,es
@Ranchero123,2024-04-12T18:06:28Z,0,"A ese "" cubanito"" le dieron su "" buena putiza"" como decimos los mexicanos..
Y le dio su buen "" MERECIDO""...😂..
👍☝️☝️☝️...ES DEPORTE NO ES TEATRO...",True,"A ese "" cubanito"" le dieron su "" buena putiza"" como decimos los mexicanos..
Y le dio su buen "" MERECIDO"".....
☝️☝️☝️...ES DEPORTE NO ES TEATRO...",cubanito dieron buena putiza decimo mexicano dio buen merecido deport teatro,es
@juniorabceua7797,2024-04-12T09:58:21Z,0,"""Yo no quiero oro ni quiero plata, yo lo que quiero es romper la piñata""   - PitbullCruz 2024😂😂😂",True,"""Yo no quiero oro ni quiero plata, yo lo que quiero es romper la piñata""   - PitbullCruz 2024",quiero oro quiero plata quiero romper piñata pitbullcruz 2024,es
@espartacos1327,2024-04-11T23:38:57Z,0,🔴Próxima pelea  de rayos  Interesante pelea  entre Issac Cruz ( campeón Mexicano) vs Barroso ( campeón Venezolano) pelea que sacara chispas si se da esta gran pelea 🥊🥊,True,Próxima pelea  de rayos  Interesante pelea  entre Issac Cruz ( campeón Mexicano) vs Barroso ( campeón Venezolano) pelea que sacara chispas si se da esta gran pelea 🥊🥊,próxima pelea rayo interesant pelea issac cruz campeón mexicano v barroso campeón venezolano pelea sacara chispa si da gran pelea,es
@Jokertheking-lb8io,2024-04-11T23:11:16Z,0,"No lo hagan ,no molesten a un harmano mexicano ,no se los recomiendo 😂",True,"No lo hagan ,no molesten a un harmano mexicano ,no se los recomiendo ",hagan molesten harmano mexicano recomiendo,es
@javierabraham4205,2024-04-11T04:00:59Z,0,La pequeña makina,True,La pequeña makina,pequeña makina,es
@albertocarmona4418,2024-04-11T03:06:04Z,0,No le pares el dedo a un mex por q te va mal jaja,True,No le pares el dedo a un mex por q te va mal jaja,pare dedo mex q va mal jaja,es
@luisalejandrotalaveraflore3579,2024-04-10T20:41:00Z,0,"Jajajajajaja jajajajajaja estuvo a toda madre como le quitaste lo hocicon a ese pinche perro roñoso para que se saque a la verga, enhora buena pitbull vas a llegar lejos brother",True,"Jajajajajaja jajajajajaja estuvo a toda madre como le quitaste lo hocicon a ese pinche perro roñoso para que se saque a la verga, enhora buena pitbull vas a llegar lejos brother",jajajajajaja jajajajajaja toda madr quitast hocicon pinch perro roñoso saqu verga enhora buena pitbul va llegar lejo brother,es
@Lafamiliarosario,2024-04-10T03:17:43Z,0,Ese muchacho se confió desde el primer around y lo lastimaron!,True,Ese muchacho se confió desde el primer around y lo lastimaron!,muchacho confió primer around lastimaron,es
@marioa8171,2024-04-09T11:55:46Z,1,Este pitbull si representa al boxeo mexicano sin miedo y siempre adelante,True,Este pitbull si representa al boxeo mexicano sin miedo y siempre adelante,pitbul si representa boxeo mexicano miedo siempr adelant,es
@T-Atreves,2024-04-08T15:37:55Z,1,"Felicidades a pitbull, todo fuego gracias a su determinación y disciplina al entrenar.... 🥊🥊",True,"Felicidades a pitbull, todo fuego gracias a su determinación y disciplina al entrenar.... 🥊🥊",felicidad pitbul fuego gracia determinación disciplina entrenar,es
@estebanmesiasguerramelgar5770,2024-04-08T14:55:18Z,0,"Grande Issac, el representante de usa se quedo sin huevos tipico.",True,"Grande Issac, el representante de usa se quedo sin huevos tipico.",grand issac representant usa quedo huevo tipico,es
@reymunvaldes2914,2024-04-08T12:23:00Z,0,"No compares la sangre d un indio , con las demás del resto de mundo , creado x dios indios ❤",True,"No compares la sangre d un indio , con las demás del resto de mundo , creado x dios indios ❤",compar sangr d indio demá resto mundo creado x dio indio,es
@pablomartinez2373,2024-04-07T21:32:15Z,0,Es bien desorganizado no tiene nada de estilo solo tiene golpes de poder pero necesita organizarse mucho mas si quiere seguir ganando peleas.,True,Es bien desorganizado no tiene nada de estilo solo tiene golpes de poder pero necesita organizarse mucho mas si quiere seguir ganando peleas.,bien desorganizado estilo solo golp poder necesita organizars ma si quier seguir ganando pelea,es
@Miguel-gf3qq,2024-04-07T15:07:11Z,0,La verdad si un peleador  inteligente pelea con el pitbull le puede ganar cruz es muy desordenado para tirar golpes esos volados quedan en la nada ala hora de tirar golpes,True,La verdad si un peleador  inteligente pelea con el pitbull le puede ganar cruz es muy desordenado para tirar golpes esos volados quedan en la nada ala hora de tirar golpes,verdad si peleador inteligent pelea pitbul pued ganar cruz desordenado tirar golp volado quedan ala hora tirar golp,es
@alexnunezhawkeye5810,2024-04-07T13:23:31Z,0,"Pitbull falló en el primer round lo tuvo y no lo apuró,se perdió el nocout",True,"Pitbull falló en el primer round lo tuvo y no lo apuró,se perdió el nocout",pitbul falló primer round apurós perdió nocout,es
@MartinRodriguez-jh5np,2024-04-07T06:22:23Z,0,Ni miraba por donde le llegaban los golpes al cubano bocón 😂😂😂😂😂😂,True,Ni miraba por donde le llegaban los golpes al cubano bocón ,miraba llegaban golp cubano bocón,es
@juanantonior7288,2024-04-07T04:01:22Z,0,"Alaverga, que manera de atinar y no atinar golpes del pitbull, una bestia, siento que barrera las 140, no veo quien lo pare.",True,"Alaverga, que manera de atinar y no atinar golpes del pitbull, una bestia, siento que barrera las 140, no veo quien lo pare.",alaverga manera atinar atinar golp pitbul bestia siento barrera 140 veo pare,es
@AlanMendez-ov1sq,2024-04-06T22:33:59Z,0,"Un ""Chihuahua"" rompiendo una piñata🎉",True,"Un ""Chihuahua"" rompiendo una piñata",chihuahua rompiendo piñata,es
@severoguzman3395,2024-04-06T19:29:16Z,0,Asi se demuestra el rig no con la boca los bocones asi quedan,True,Asi se demuestra el rig no con la boca los bocones asi quedan,asi demuestra rig boca bocon asi quedan,es
@joelalvarez1415,2024-04-06T15:00:52Z,0,En 2 minutos PUÑETAAAA👍🏼💪🏽🇵🇷,True,En 2 minutos PUÑETAAAA,2 minuto puñetaaaa,es
@robertomurri1278,2024-04-06T05:01:48Z,1,"Pitbull Cruz. Hijo de la chingada! 
👏 👏 👏 😎🔥🇲🇽",True,"Pitbull Cruz. Hijo de la chingada! 
   ",pitbul cruz hijo chingada,es
@sixtoguerrero9988,2024-04-05T22:20:16Z,0,Ese fue el terremoto mexicano!!!!!!!,True,Ese fue el terremoto mexicano!!!!!!!,terremoto mexicano,es
@sergiorodriguez1246,2024-04-05T20:48:06Z,0,El Pitbull cruz hoy por hoy no hay rival que aguante sus manos. Si lo agarra al tanque ahora lo deja tirado en la lona.,True,El Pitbull cruz hoy por hoy no hay rival que aguante sus manos. Si lo agarra al tanque ahora lo deja tirado en la lona.,pitbul cruz hoy hoy rival aguant mano si agarra tanqu ahora deja tirado lona,es
@RafaelOrtiz-vk6ed,2024-04-05T16:50:03Z,0,Buen peleador!,True,Buen peleador!,buen peleador,es
@fabianmanriquez5856,2024-04-05T15:58:09Z,0,"Una vergüenza Romero. Eso le pasó por hocicon, tanto hablo que al final leyeron un baile en el Ring. Realmente mucha habladuria y poco de lo que realmente importa que es demostrarlo en el cuadrilátero.",True,"Una vergüenza Romero. Eso le pasó por hocicon, tanto hablo que al final leyeron un baile en el Ring. Realmente mucha habladuria y poco de lo que realmente importa que es demostrarlo en el cuadrilátero.",vergüenza romero pasó hocicon hablo final leyeron bail ring realment mucha habladuria realment importa demostrarlo cuadrilátero,es
@sergiooliva4268,2024-04-05T04:35:25Z,0,El box mexicano está en buenas manos 🇲🇽,True,El box mexicano está en buenas manos ,box mexicano buena mano,es
@josearmando1718,2024-04-05T03:02:44Z,0,4 millones de vistas en 4 dias 🇲🇽🔥,True,4 millones de vistas en 4 dias ,4 millon vista 4 dia,es
@joelbustamanteenriquez3918,2024-04-05T02:26:05Z,0,Como dijo Julio Cesar Chavez le queria pegar una shinga pero se la pegue yo🎉,True,Como dijo Julio Cesar Chavez le queria pegar una shinga pero se la pegue yo,dijo julio cesar chavez queria pegar shinga pegu,es
@joaquinandrade143,2024-04-05T01:50:47Z,0,Quiero ver la revancha con Gerbonta,True,Quiero ver la revancha con Gerbonta,quiero ver revancha gerbonta,es
@carlosmartinez2309,2024-04-04T21:49:31Z,0,Así le pasa a todos esos habladores los mexicanos éramos guerreros de nacimiento ser cabron se nace no se compra en la farmacia,True,Así le pasa a todos esos habladores los mexicanos éramos guerreros de nacimiento ser cabron se nace no se compra en la farmacia,así pasa hablador mexicano guerrero nacimiento ser cabron nace compra farmacia,es
