author,updated_at,like_count,text,public
@psicorganon3585,2024-04-15T02:16:42Z,0,Como puede defender tan mal un boxeador. Para mi que el golpe de cruz en el primer round le movio sus conocimintos basicos de boxeo.,True
@dannggg,2024-04-15T01:47:38Z,0,Thumbnail has me dead,True
@P71ScrewHead,2024-04-14T22:40:59Z,0,"Even Chihuahuas get their respect.. I had 2, i know them lil dogs are fearless n back down to no one.. i guess Pitbull Cruz let the inner Chihuahua in him loose, absolutely beat him nasty..lol",True
@FruscianteRamone,2024-04-14T21:02:26Z,0,I want to see cruz VS tank again!,True
@AngelRosariorivera-sb4dg,2024-04-14T20:56:21Z,0,My son Is 5 AND he know that pit  Bill Will won the fight,True
@bunaldiaries6418,2024-04-14T20:52:14Z,0,Bum ass Rolly needs to hang them gloves up. He doesn't have it anymore. Call it a career Rolly you ain't shit.,True
@TaylorMadeStreams,2024-04-14T20:11:45Z,0,GOT DOG WALKED!!!,True
@berntbishop5098,2024-04-14T19:41:45Z,0,Cruse is absolutely incredibly beatdown boxer. Time for a rematch between him n Tank. He has earned the right.,True
@TheSakufighter,2024-04-14T18:48:18Z,0,Ref jumped in way too quick.,True
@JDeuce1,2024-04-14T18:46:14Z,0,Romero Is all talks 😅😅 Alwayz Getting his ass beat,True
@MrAfiq74,2024-04-14T17:40:27Z,0,Cruz is another level man,True
@DanHunterSportsWriter,2024-04-14T16:50:58Z,0,Isaac Cruz fights like a prime Mike Tyson!!,True
@TinoMakuyana,2024-04-14T04:57:12Z,0,Wow this romero is not boxer he is just lucky to be getting such big paying bouts,True
@jonnycashh3876,2024-04-14T04:29:55Z,0,Rolly a troll boxer….Jake Paul should fight him 🤭🤭,True
@donnellpool6239,2024-04-14T03:57:36Z,0,At the end of the fight interviewing Rolly he reminded me of Daffy duck singing Mary had another lamb just like Rolly talking about going to Disneyland,True
@gabrielalvarez7029,2024-04-14T03:12:06Z,0,A México se le respeta!!!!!,True
@lavery0365,2024-04-14T02:40:03Z,0,Ass whooping well deserved..... BING BANG BOOM 💥!,True
@luizotavio6652,2024-04-14T02:15:15Z,0,"Cruz vençeu até gervonta, aquela luta foi roubada
Esse cara luta com garra, verdadeiro pitbul",True
@marcobermudez1423,2024-04-13T23:49:47Z,0,When out boxed goes wrong,True
@listonloveless4672,2024-04-13T20:46:31Z,0,They should have been stopped this fight,True
@user-ib5df6he2i,2024-04-13T19:31:55Z,0,😂😂😂😂,True
@GaryBonnell-tl1jp,2024-04-13T15:37:11Z,0,After the nut whipping that senior citizen put on rolly i don't have a clue how anyone thought rolly had a chance and i know yank doesn't want a rematch the pitbull has gotten better,True
@drettydre149,2024-04-13T14:27:24Z,0,Issac Cruz is a main event PPV fighter,True
